mat_number;item_description_1;item_description_2;mat017_group
MAT0170070;Werkzeug;Klein-Doppelmaulschlüssel-Satz;RC-D1
MAT0170071;Markierer SSH;PS1000-2W  SSH;RC-K8
MAT0170072;Einsatz, Stift;HAN 6E (6+PE), Schraub.;RC-K5
MAT0170073;Einsatz, Buchse;HC-B 24-I-CT-F;RC-K5
MAT0170074;Einsatz, Stift;HC-B 24-I-CT-M;RC-K5
MAT0170075;Gehäuse, Tülle;HAN 16B PG 2x16 Ger. K.-Au.;RC-K3
MAT0170076;Einsatz, Stift;HAN 40D (40+PE), Crimp;RC-K5
MAT0170077;Einsatz, Stift;HAN K4/0 (4/0+PE) , Schraub.;RC-K5
MAT0170078;Einsatz, Buchse;4pol.+PE, CXF 4/0, Schraub;RC-K5
MAT0170079;Einsatz, Stift;HAN 18EE (18+PE), Crimp;RC-K5
MAT0170080;Einsatz, Buchse;HAN 18EE (18+PE), Crimp;RC-K5
MAT0170081;Einsatz, Stift;H-D 40 SCG 40pol.  Crimp;RC-K5
MAT0170082;Einsatz, Buchse;H-D 40 BCG  40pol., Crimp;RC-K5
MAT0170083;Einsatz, Buchse;HAN 6E (6+PE), Schraubansch.;RC-K5
MAT0170084;Einsatz, Buchse;HAN 10E (10+PE), Schraubansch.;RC-K5
MAT0170085;Einsatz, Stift;HAN 10E (10+PE), Schraub.;RC-K5
MAT0170086;Einsatz, Stift;15pol.+PE, CDM 15, Crimp;RC-K5
MAT0170087;Einsatz, Buchse;HAN 15D (15+PE), Crimp;RC-K5
MAT0170088;Einsatz, Stift;HAN 24DD (24+PE), Crimp;RC-K5
MAT0170089;Einsatz, Buchse;HAN 6E (6+PE), Crimp;RC-K5
MAT0170090;Einsatz, Stift;HAN 6E (6+PE), Crimp;RC-K5
MAT0170091;Werkzeug;Spiralbohrer-Nachfüllsatz 81teilig 2-10m;RC-D1
MAT0170092;Einsatz, Buchse;HAN 24E (24+PE), Schraubansch.;RC-K5
MAT0170093;Einsatz, Stift;HAN 24E (24+PE), Schraub.;RC-K5
MAT0170094;Einsatz, Stift;HAN 16E (16+PE), Schraub.;RC-K5
MAT0170095;Einsatz, Buchse;HAN 16E (16+PE), Schraubansch.;RC-K5
MAT0170096;Einsatz, Stift;HAN K4/2 (4/2+PE), Schraub. !RKS M5!;RC-K5
MAT0170097;Einsatz, Buchse;HAN K4/2 (4/2+PE), Schraubansch. !RKS M5;RC-K5
MAT0170098;Einsatz, Stift;C146 HvE mit Schraubanschluß;RC-K5
MAT0170099;Werkzeug;Handzange FCI fü Dubox HT234;RC-D1
MAT0170100;Einsatz, Stift;HAN 32EE (32+PE), Crimp;RC-K5
MAT0170101;Einsatz, Buchse;HAN 32EE (32+PE), Crimp;RC-K5
MAT0170102;Einsatz, Stift;HAN 42DD  (42+PE), Crimp;RC-K5
MAT0170103;Einsatz, Stift;HAN 64D (64+PE), Crimp;RC-K5
MAT0170104;Werkzeug;Butangas Ersatzfüllung 200ml;RC-D6
MAT0170105;Einsatz, Stift;HAN 25D (25+PE), Crimp;RC-K5
MAT0170106;Einsatz, Buchse;HAN 25D (25+PE), Crimp;RC-K5
MAT0170107;Einsatz, Buchse;HAN 6ES (6+PE), Käfigzugfeder.;RC-K5
MAT0170108;Einsatz, Stift;HAN 6ES (6+PE), Käfigzugfeder.;RC-K5
MAT0170109;Einsatz, Stift;HAN 10ES (10+PE), Käfigzugfeder.;RC-K5
MAT0170110;Einsatz, Buchse;HAN 10ES (10+PE), Käfigzugfeder.;RC-K5
MAT0170111;Einsatz, Buchse;HAN 16ES (16+PE), Käfigzugfeder.;RC-K5
MAT0170112;Einsatz, Stift;HAN 16ES (16+PE), Käfigzugfeder.;RC-K5
MAT0170113;Einsatz, Buchse;HAN 10E (10+PE);RC-K5
MAT0170114;Einsatz, Stift;HAN 10E (10+PE);RC-K5
MAT0170115;Einsatz, Buchse;6pol.+PE, CPF 06, Schraub;RC-K5
MAT0170116;Einsatz, Buchse;16pol.;RC-K5
MAT0170117;Einsatz, Buchse;B16 0,5-2,5qmm,20-14AWG;RC-K5
MAT0170118;Einsatz, Buchse;HC-HV6-EBUS, 6pol;RC-K5
MAT0170119;Werkzeug;Ratschen-Ringschlüssel 24mm;RC-D1
MAT0170120;Einsatz, Stift;HC-HV 6-ESTS;RC-K5
MAT0170121;Werkzeug;Anstoßkappe UVEX U-CAP mit kurzen Schirm;RC-D6
MAT0170122;Werkzeug;Raustreiber für Molex Mini-Fit;RC-D1
MAT0170123;Einsatz, Buchse;HAN 3A (3+PE), Schraubansch.;RC-K5
MAT0170124;Einsatz, Stift;HAN 3A (3+PE), Schraubansch.;RC-K5
MAT0170125;Einsatz, Stift;HC-B16-ESTS;RC-K5
MAT0170126;Gehäuse, Tülle;wie MAT0170127;RC-K3
MAT0170127;Gehäuse, Tülle;HAN 16B PG 21 Ger. K.-Au;RC-K3
MAT0170128;Gehäuse, Tülle;HAN 16B PG 29 Seitl. K.-Au, 2Bügel;RC-K3
MAT0170129;Gehäuse, Tülle;HAN 24B PG 21 Seitl. K.-Ausg.;RC-K3
MAT0170130;Werkzeug;Crimpbacken UMNL 4-5qmm für Ergocrimp;RC-D1
MAT0170131;Gehäuse, Sockel;HAN 10B  2x PG 21;RC-K3
MAT0170132;Gehäuse, Tülle;HAN 10A PG 16 ger. K.-Au.;RC-K3
MAT0170133;Gehäuse, Tülle;mit Bolzen, seitlicher Kabelausgang, PG1;RC-K3
MAT0170134;Gehäuse, Tülle;HAN 16B PG 21 Seitl. K.- Au.;RC-K3
MAT0170135;Werkzeug;Bandmaß-Quickmeter 2m;RC-D1
MAT0170136;Gehäuse, Tülle;HAN 6B PG 21 Seitl. K.- Au.;RC-K3
MAT0170137;Gehäuse, Tülle;HAN 10B PG 21 Seitl. K;RC-K3
MAT0170138;Gehäuse, Tülle;HAN 16B PG 29 Ger. K.-Aug.;RC-K3
MAT0170139;Gehäuse, Tülle;HAN 10B GS 16 Seitl.K.-Ausg.;RC-K3
MAT0170140;Gehäuse, Tülle;HAN 24B PG 29 Seitl. K.-Au., 2Bügel;RC-K3
MAT0170141;Gehäuse, Tülle;HAN 6B PG 13,5 Seitl. K.-Au.;RC-K3
MAT0170142;Gehäuse, Tülle;HAN 6B PG 16 Seitl. K.-Au.;RC-K3
MAT0170143;Gehäuse, Tülle;HAN 6B PG 16 Ger. K.-Au.;RC-K3
MAT0170144;Gehäuse, Tülle;HAN 6B 66 PG13.5;RC-K3
MAT0170146;Gehäuse, Tülle;HAN 16B PG 21 Seitl. K.- Au, 2Bügel;RC-K3
MAT0170147;Gehäuse, Sockel;24pol., PG 21;RC-K3
MAT0170148;Handschuhe  PU Grau;Größe 8 Feinstrick;RC-D6
MAT0170149;Gehäuse, Tülle;HAN 24B PG 21 Seitl. K.- , 2Bügel;RC-K3
MAT0170150;Gehäuse, Tülle;HC-B6-TFL-43/M1PG13,5S;RC-K3
MAT0170151;Gehäuse, Tülle;HC-HV 6-TFL-60/M1PG21S;RC-K3
MAT0170152;Gehäuse, Tülle;HAN 10B PG 21 Seitl. K, 2Bügel;RC-K3
MAT0170153;Gehäuse, Tülle;seitl., HC-B10-TFL-52/M1PG16S;RC-K3
MAT0170154;Gehäuse, Anbau;HAN 16B;RC-K3
MAT0170155;Gehäuse, Tülle;HAN 10B PG 21 Ger. K.;RC-K3
MAT0170156;Gehäuse, Tülle;HAN 24B PG 21 Seitl. K.-Ausg.;RC-K3
MAT0170157;Handschuhe  PU Grau;Größe 7 Feinstrick;RC-D6
MAT0170158;Gehäuse, Sockel;Hohe Ausf. 2xPG 21;RC-K3
MAT0170159;Gehäuse, Tülle;B16 QVN,1xM25 seitl.m.Stutzen;RC-K3
MAT0170160;Gehäuse, Tülle;HD-64, STO-Gr.,  PG1x21-1x16;RC-K3
MAT0170161;Gehäuse, Tülle;HAN 6B PG 21 gerad. K.-Ausg.;RC-K3
MAT0170162;Gehäuse, Sockel;HC-B-10-TMQ-45/M1PG16G;RC-K3
MAT0170164;Gehäuse, Tülle;HC-B16-TFQ-76/M1PG21S;RC-K3
MAT0170165;Gehäuse, Tülle;HC-B10-TMQ-52/M1P;RC-K3
MAT0170167;Gehäuse, Sockel;HAN 24B KB-RB PG29;RC-K3
MAT0170168;Gehäuse, Tülle;HAN 24B PG 29 Ger. K.-Ausg.;RC-K3
MAT0170170;Stecker, RJ45;DB9-BU/RJ45-8;RC-K2
MAT0170171;Stecker, RJ45;DB9-ST/RJ45-8;RC-K2
MAT0170172;Gehäuse, SUB-D;Metall, gerade,15pol;RC-K3
MAT0170173;Gehäuse, SUB-D;Metall;RC-K3
MAT0170174;Schlauchleitung;2SN DN10x12080mm DKOL12/DKOL12 gerade;RC-S1
MAT0170175;siehe MAT01712124;Sub-D 37pol. Schirm , Lötvariante;RC-K5
MAT0170176;Gehäuse, SUB-D;Metall, 45-Grad, 25pol;RC-K3
MAT0170178;Gehäuse, SUB-D;Metall, gerade, niedrig 15pol;RC-K3
MAT0170180;Gehäuse, SUB-D;metallisiert, 45-Grad 9pol;RC-K3
MAT0170182;Einsatz, Stift SUB-D;löt, 15 pol. Gr.1, HD;RC-K5
MAT0170183;Einsatz, Stift SUB-D;löt, 9pol;RC-K5
MAT0170184;Einsatz, Stift SUB-D;löt, Sub-D 15pol. Einsatz,Stift  Gr.2;RC-K5
MAT0170185;siehe MAT01712116;Sub-D 25pol.;RC-K5
MAT0170186;Gehäuse, Kunststoff;FKS 2AE-K201E 15pol.;RC-K3
MAT0170187;Gehäuse, SUB-D;Metall, 45-Grad,FMK2;RC-K3
MAT0170188;Gehäuse, SUB-D;Metall, gerade, niedrig, 25pol;RC-K3
MAT0170189;Gehäuse, Metall;Metallhaube, Schraubverr., Gr.3;RC-K3
MAT0170190;Gehäuse, SUB-D;Metall, 45-Grad, 9pol;RC-K3
MAT0170191;Gehäuse, SUB-D;Metall, gerade, 9pol;RC-K3
MAT0170192;Gehäuse, SUB-D;Metall, 45-Grad, 25pol;RC-K3
MAT0170193;Gehäuse, SUB-D;Metall, FMH-1G;RC-K3
MAT0170195;Kontakt, Buchse;Crimp, H-D 1,6, 3,6;RC-K6
MAT0170196;Kontakt, Buchse;74041000, 3,6mm;RC-K6
MAT0170197;Kontakt, Stift;Crimp, R2.5, 1.0-2,5;RC-K6
MAT0170198;Stecker, Rundverbinder;LS1 D 0,5-2,5 Buchse;RC-K2
MAT0170200;siehe MAT01717145;Crimp, 6,0-10,0;RC-K6
MAT0170203;Stecker, Rundverbinder;Gr. 1,5 / B 3,6 / Buchse;RC-K2
MAT0170204;Schüttware Kontakt, Buchse;HAN 7D,Crimp 0,5qmm versilbert;RC-K6
MAT0170205;Kontakt, Buchse;Crimp, 1,0-2,5;RC-K6
MAT0170206;Schüttware Kontakt, Stift;Crimp, Coax, HC-M-04-ST-KOAX-50, 50 Ohm;RC-K6
MAT0170207;Schüttware Kontakt, Buchse;CK2,5-ED-0,50BU AG;RC-K6
MAT0170213;Schüttware Kontakt;Crimp;RC-K6
MAT0170214;Kontakt;Crimp;RC-K6
MAT0170217;Kontakt, Buchse;Crimp;RC-K6
MAT0170218;Schüttware Kontakt, Buchse;HAN 7D,Crimp 1,5qmm versilbert;RC-K6
MAT0170219;Schüttware Kontakt, Buchse;HAN 7D,1,0qmm, Crimp, versilbert;RC-K6
MAT0170221;Schüttware Kontakt, Buchse;HAN 7D,0,14-0,37qmm, Crimp, versilbert;RC-K6
MAT0170222;Schüttware Kontakt, Buchse;HAN 7D, Crimp, 0,75qmm versilbert;RC-K6
MAT0170223;Schüttware Kontakt, Buchse;HAN 7D, Crimp, 0,5qmm vergoldet;RC-K6
MAT0170224;Schüttware Kontakt, Buchse;HAN 7D, Crimp, 0,75qmm vergoldet;RC-K6
MAT0170225;Schüttware Kontakt, Buchse;HAN 10A 1,5, versilbert, Crimp;RC-K6
MAT0170226;Schüttware Kontakt, Buchse;Crimp, H-D 1,6 gedr;RC-K6
MAT0170228;Schüttware Kontakt, Stift;HAN 7D, Crimp, 0,5qmm versilb.;RC-K6
MAT0170229;Pfostenverbinder;INS 0672/C01;RC-K2
MAT0170230;Schüttware Kontakt, Stift;HAN 7D, Crimp, 1,5qmm versilb.;RC-K6
MAT0170231;Schüttware Kontakt, Stift;HAN 7D,1qmm, Crimp, versilbert;RC-K6
MAT0170233;Schüttware Kontakt, Stift;HAN 7D, Crimp, 0,14-0,37qmm versilbert;RC-K6
MAT0170235;Schüttware Kontakt, Stift;HAN 7D, Crimp, 2,5qmm versilbert;RC-K6
MAT0170236;Schüttware Kontakt, Stift;HAN 7D, Crimp, 0,5qmm vergoldet;RC-K6
MAT0170237;siehe MAT01711363;HAN 7D, Crimp, 0,75qmm vergoldet;RC-K6
MAT0170238;Schüttware Kontakt, Stift;HAN 7D, Crimp, 0,75qmm versilbert;RC-K6
MAT0170239;Schüttware Kontakt, Buchse;Crimp, HAN 10A 1,0;RC-K6
MAT0170240;Schüttware Kontakt, Stift;Crimp 1,5qmm versilb. Leistung;RC-K6
MAT0170241;Schüttware Kontakt, Stift;H-D 1,6 gedreht 0,14-0,37qmm;RC-K6
MAT0170242;Kontakt, Stift;Crimp, Leistung, Gr. 1,5, E3,6;RC-K6
MAT0170244;Kontakt, Stift;Crimp, Leistung, Gr. 1,5, D2;RC-K6
MAT0170245;Kontakt, Stift;R 2.5 Crimp 0,14-1,0qmm;RC-K6
MAT0170246;Schüttware Kontakt, Stift;CK2,5-ED-0,50ST AG;RC-K6
MAT0170247;Schüttware Kontakt, Stift;HC-MO4-ST-KOAX;RC-K6
MAT0170254;Schüttware Kontakt;Crimp TA. 0,8;RC-K6
MAT0170256;Schüttware Kontakt;Crimp;RC-K6
MAT0170258;Bandware Kontakt, Stift;0,5-1,5mm² Amphenol Ecomate, versilbert;RC-K6
MAT0170260;Schüttware Kontakt, Buchse;Crimp;RC-K6
MAT0170263;Kontakt, Buchse;Crimp, HD-20;RC-K6
MAT0170264;Kontakt, Buchse;Crimp, HD-20, 0,2-0,5;RC-K6
MAT0170267;Aderendhülse, isoliert;4qmm / 10mm Farbe: grau;RC-K1
MAT0170268;Aderendhülse, isoliert;2,5qmm / 8mm Farbe: blau;RC-K1
MAT0170269;Flachsteckhülse;0,5-1,0 isoliert 6,3x0,8 Farbe: rot;RC-K1
MAT0170270;Aderendhülse, isoliert;0,25qmm / 8mm Farbe: hellblau;RC-K1
MAT0170271;Aderendhülse, isoliert;0,34qmm / 6mm Farbe: türkis;RC-K1
MAT0170273;Aderendhülse, isoliert;0,5qmm / 8mm Farbe: orange;RC-K1
MAT0170274;Aderendhülse, isoliert;0,75qmm / 8mm Farbe: weiß;RC-K1
MAT0170275;Kabelschuh, Ring, blank;M8, 25qmm;RC-K1
MAT0170276;Kabelschuh, Ring, isoliert;M6, 4,0-6,0qmm Farbe: gelb;RC-K1
MAT0170279;Aderendhülse, isoliert;1qmm / 8mm Farbe:gelb;RC-K1
MAT0170280;Aderendhülse, isoliert;1,5qmm / 10mm Farbe: rot;RC-K1
MAT0170281;Aderendhülse, isoliert;1,5qmm / 8mm Farbe: rot;RC-K1
MAT0170282;Aderendhülse, isoliert;2,5qmm / 18mm Farbe: blau;RC-K1
MAT0170283;Aderendhülse, isoliert;10qmm / 12mm Farbe: elfenbein;RC-K1
MAT0170284;Aderendhülse, isoliert;10qmm / 18mm Farbe: elfenbein;RC-K1
MAT0170285;Aderendhülse, isoliert;35qmm / 18mm Farbe: beige;RC-K1
MAT0170287;Kabelschuh, Gabel, isoliert;M4, 1,5-2,5qmm Farbe: blau;RC-K1
MAT0170288;Kabelschuh, Gabel, isoliert;M4, 0,5-1,0qmm Farbe: rot;RC-K1
MAT0170289;Kabelschuh, Gabel, isoliert;M6, 4,0-6,0qmm Farbe: gelb;RC-K1
MAT0170290;Kabelschuh, Gabel, isoliert;M4, 4,0-6,0qmm Farbe: gelb;RC-K1
MAT0170291;Kabelschuh, Rohr, blank;M4, 4,0-6,0qmm;RC-K1
MAT0170292;Kabelschuh, Rohr, blank;M4, 10qmm;RC-K1
MAT0170294;Kabelschuh, Ring, blank;M6, 25qmm;RC-K1
MAT0170295;Kabelschuh, Rohr, blank;M8, 16qmm;RC-K1
MAT0170296;Kabelschuh, Ring, blank;M5, 16qmm;RC-K1
MAT0170299;Kabelschuh, Ring, isoliert;M8, 4,0-6,0qmm Farbe: gelb;RC-K1
MAT0170302;Kabelschuh, Stift, isoliert;10qmm Farbe: rot;RC-K1
MAT0170303;Flachsteckhülse;1,5-2,5 isoliert 2,8x0,8;RC-K1
MAT0170304;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 2, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170305;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 8, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170306;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 3, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170307;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ Blau, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170308;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 5, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170309;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 1, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170310;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 6, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170311;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 7, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170312;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 0, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170313;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ W, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170314;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ +, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170315;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ V, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170316;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ U, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170318;Kunststoff-Bez.-Hülsen;PA 02/3 BEZ 9, Ader von 0,5qm - 1,5qm;RC-K8
MAT0170320;Schraube, Senkopf;DIN7991 verzinkt  10.9 6x20,;RC-A5
MAT0170321;Schraube, Senkopf;DIN7991 verzinkt  10.9 6x16,;RC-A5
MAT0170322;Schraube, Senkopf;DIN7991 verzinkt  10.9 6x35,;RC-A5
MAT0170323;Gummitülle;902.096  Schwarz;RC-K7
MAT0170324;Schraube, Zylinder Innensechskant;M6x15 A2;RC-A5
MAT0170328;Distanzbolzen;10x39;RC-A2
MAT0170329;Kupplung;NW5-G 1/4;RC-K4
MAT0170330;Schlauchtülle;44-0409;RC-K11
MAT0170331;Ringe  Dicht-;DIN7603 Kupfer 1,mm  14 x 18;RC-K2
MAT0170332;Schlauchschelle;DIN 3017;RC-K7
MAT0170333;Schlauchschelle;DIN 3017  9ST-ZN  12-22mm;RC-K7
MAT0170334;Schlauchschelle;DIN3017/8-16/9-ST-ZN;RC-K7
MAT0170336;Zubehör;Lötdraht Sn60/Pb38/Cu2 250 g 1,5 mm;RC-D3
MAT0170340;Gehäuse, SUB-D;Metall;RC-K3
MAT0170341;siehe MAT0179421;.;RC-K11
MAT0170345;Bolzen, Codier/Sperr;Kunststoff Codier-Kerbstift;RC-K5
MAT0170346;Bolzen, Codier/Sperr;Führungsstift, HAN E / X / D;RC-K5
MAT0170347;Sechskantbolzen;F-GSCH 1/5 UNC Komplettsatz (1x pro Stec;RC-K11
MAT0170349;Schraube;DIN 912 M 4x16, 12.9 blank;RC-A5
MAT0170350;Schraube;SL-Schraube;RC-K11
MAT0170351;Bolzen, Codier/Sperr;Führungsbuchse;RC-K5
MAT0170352;Siehe MAT0174565;1772722;RC-K5
MAT0170353;Einlegeklötzchen;FEK 1/5;RC-K5
MAT0170354;Schraube;Rändelschraube;RC-K3
MAT0170355;Rändelschraube;FRS1Y5K190, UNC4-40,Ges.L=54mm;RC-K5
MAT0170359;Schlauch Gewebe;Rolle=61m;RC-S4
MAT0170361;Zubehör;Krokoklemme, TYP AGF 20;RC-D6
MAT0170362;Distanzbolzen;6011-06;RC-K5
MAT0170363;siehe MAT0170655;C.53007;RC-D3
MAT0170364;Schriftband;12mm;RC-D6
MAT0170365;Schriftband;9mm;RC-D6
MAT0170366;Beschriftungsband;BROTZ 241, 18,0;RC-D6
MAT0170369;siehe MAT01712112;löt, verzinnt, gestanzt;RC-K5
MAT0170370;Stecker, Rundverbinder;76032000, Kupplung;RC-K2
MAT0170371;Stecker, Rundverbinder;Gr.1,5 Leistung;RC-K2
MAT0170372;Stecker, Rundverbinder;LS1 D6 7,5-15,5mm 3+PE+4,;RC-K2
MAT0170374;Verschraubung;ST 21 PG 21 13,0-18,0;RC-K7
MAT0170376;Stecker, Rundverbinder;77020700;RC-K2
MAT0170377;Stecker, Rundverbinder;17pol. und 12;RC-K2
MAT0170380;Stecker, Rundverbinder;VPAF08DFRAF000, Buchse;RC-K2
MAT0170381;Stecker, Leistung;GR.2 Interconnectron;RC-K2
MAT0170383;Stecker;Binder;RC-K2
MAT0170384;Steckverbinder, Rund, Winkel;RKCW4/7 M12, 4pol, Kupplung;RC-K2
MAT0170385;Stecker, Rundverbinder;R2.5 06;RC-K2
MAT0170386;Stecker, Rundverbinder;R2.5 F6;RC-K2
MAT0170387;Stecker, Leistung;Gr. 1, LPA09BFRFO213;RC-K2
MAT0170388;Stecker, Rundverbinder;LS1 D6, 12,5-17,0mm 3+PE+4;RC-K2
MAT0170390;Steckverbinder, Rund, Gerade;RKC40/13,5 Kupplung;RC-K2
MAT0170391;siehe MAT0178227;RSC5/7 Stecker;RC-K2
MAT0170392;Steckverbinder, Rund, Gerade;RSC40/13,5 Stecker;RC-K2
MAT0170393;Steckverbinder, Rund, Gerade;RKC5/7 Kupplung;RC-K2
MAT0170394;Kabeldose;Kabel, Kunststoffverr., 4-6mm, 4pol., Bu;RC-K2
MAT0170395;Stecker, Rundverbinder;RC-09S1N12170;RC-K2
MAT0170396;Stecker, Rundverbinder;RC-09P1N12170;RC-K2
MAT0170398;Stecker;INS O481/C04 Binderbuchse;RC-K2
